,0,1,2,3,4
100,2.8268,49.8314,[2.280413e-06],2.8268_49.8314.tif,Ablaincourt-Pressoir
101,2.8254,49.8384,[0.0087635],2.8254_49.8384.tif,Ablaincourt-Pressoir
102,2.8268,49.8454,[0.00057087],2.8268_49.8454.tif,Ablaincourt-Pressoir
103,2.8282,49.8314,[0.00014703],2.8282_49.8314.tif,Ablaincourt-Pressoir
104,2.8268,49.8384,[0.00810052],2.8268_49.8384.tif,Ablaincourt-Pressoir
105,2.8282,49.8454,[0.00067171],2.8282_49.8454.tif,Ablaincourt-Pressoir
106,2.8296,49.8314,[0.0008499],2.8296_49.8314.tif,Ablaincourt-Pressoir
107,2.8282,49.8384,[0.00029627],2.8282_49.8384.tif,Ablaincourt-Pressoir
108,2.8296,49.8454,[7.5822936e-05],2.8296_49.8454.tif,Ablaincourt-Pressoir
109,2.831,49.8314,[0.00111148],2.831_49.8314.tif,Ablaincourt-Pressoir
110,2.8296,49.8384,[4.4705804e-08],2.8296_49.8384.tif,Ablaincourt-Pressoir
111,2.831,49.8454,[3.9397472e-07],2.831_49.8454.tif,Ablaincourt-Pressoir
112,2.8324,49.8314,[0.00152235],2.8324_49.8314.tif,Ablaincourt-Pressoir
113,2.831,49.8384,[1.2518283e-06],2.831_49.8384.tif,Ablaincourt-Pressoir
114,2.8324,49.8454,[3.0731633e-05],2.8324_49.8454.tif,Ablaincourt-Pressoir
115,2.8338,49.8314,[0.0026738],2.8338_49.8314.tif,Ablaincourt-Pressoir
116,2.8324,49.8384,[0.00046333],2.8324_49.8384.tif,Ablaincourt-Pressoir
117,2.8338,49.8454,[0.00296557],2.8338_49.8454.tif,Ablaincourt-Pressoir
118,2.8352,49.8314,[0.00138056],2.8352_49.8314.tif,Ablaincourt-Pressoir
119,2.8338,49.8384,[0.00047288],2.8338_49.8384.tif,Ablaincourt-Pressoir
120,2.8352,49.8454,[0.00339834],2.8352_49.8454.tif,Ablaincourt-Pressoir
121,2.8366,49.8314,[0.00136851],2.8366_49.8314.tif,Ablaincourt-Pressoir
122,2.8352,49.8384,[0.00048766],2.8352_49.8384.tif,Ablaincourt-Pressoir
123,2.8366,49.8454,[0.00637185],2.8366_49.8454.tif,Ablaincourt-Pressoir
124,2.838,49.8314,[0.00131696],2.838_49.8314.tif,Ablaincourt-Pressoir
125,2.8366,49.8384,[0.04981447],2.8366_49.8384.tif,Ablaincourt-Pressoir
126,2.838,49.8454,[0.01790539],2.838_49.8454.tif,Ablaincourt-Pressoir
127,2.8394,49.8314,[0.0211319],2.8394_49.8314.tif,Ablaincourt-Pressoir
128,2.838,49.8384,[0.00133587],2.838_49.8384.tif,Ablaincourt-Pressoir
129,2.8394,49.8454,[0.006483],2.8394_49.8454.tif,Ablaincourt-Pressoir
130,2.81,49.8328,[0.00071525],2.81_49.8328.tif,Ablaincourt-Pressoir
131,2.8394,49.8384,[0.00093756],2.8394_49.8384.tif,Ablaincourt-Pressoir
132,2.81,49.8468,[0.00114638],2.81_49.8468.tif,Ablaincourt-Pressoir
133,2.8114,49.8328,[0.00116242],2.8114_49.8328.tif,Ablaincourt-Pressoir
134,2.81,49.8398,[0.02069187],2.81_49.8398.tif,Ablaincourt-Pressoir
135,2.8114,49.8468,[0.00125453],2.8114_49.8468.tif,Ablaincourt-Pressoir
136,2.8128,49.8328,[0.00142231],2.8128_49.8328.tif,Ablaincourt-Pressoir
137,2.8114,49.8398,[0.01555641],2.8114_49.8398.tif,Ablaincourt-Pressoir
138,2.8142,49.8328,[0.677432],2.8142_49.8328.tif,Ablaincourt-Pressoir
139,2.8128,49.8468,[0.00181533],2.8128_49.8468.tif,Ablaincourt-Pressoir
140,2.8156,49.8328,[0.00907877],2.8156_49.8328.tif,Ablaincourt-Pressoir
141,2.8128,49.8398,[0.00625875],2.8128_49.8398.tif,Ablaincourt-Pressoir
142,2.8142,49.8468,[0.00208298],2.8142_49.8468.tif,Ablaincourt-Pressoir
143,2.817,49.8328,[0.00257537],2.817_49.8328.tif,Ablaincourt-Pressoir
144,2.8142,49.8398,[0.00435317],2.8142_49.8398.tif,Ablaincourt-Pressoir
145,2.8156,49.8468,[0.04422],2.8156_49.8468.tif,Ablaincourt-Pressoir
146,2.8184,49.8328,[0.0005147],2.8184_49.8328.tif,Ablaincourt-Pressoir
147,2.8156,49.8398,[0.00326316],2.8156_49.8398.tif,Ablaincourt-Pressoir
148,2.817,49.8468,[0.00398261],2.817_49.8468.tif,Ablaincourt-Pressoir
149,2.8198,49.8328,[0.0001936],2.8198_49.8328.tif,Ablaincourt-Pressoir
150,2.817,49.8398,[0.00189442],2.817_49.8398.tif,Ablaincourt-Pressoir
151,2.8184,49.8468,[0.00260804],2.8184_49.8468.tif,Ablaincourt-Pressoir
152,2.8212,49.8328,[0.00100608],2.8212_49.8328.tif,Ablaincourt-Pressoir
153,2.8184,49.8398,[0.00404977],2.8184_49.8398.tif,Ablaincourt-Pressoir
154,2.8198,49.8468,[0.00460452],2.8198_49.8468.tif,Ablaincourt-Pressoir
155,2.8226,49.8328,[0.00010112],2.8226_49.8328.tif,Ablaincourt-Pressoir
156,2.8198,49.8398,[9.303115e-10],2.8198_49.8398.tif,Ablaincourt-Pressoir
157,2.8212,49.8468,[0.00448485],2.8212_49.8468.tif,Ablaincourt-Pressoir
158,2.824,49.8328,[0.00269447],2.824_49.8328.tif,Ablaincourt-Pressoir
159,2.8212,49.8398,[4.317227e-09],2.8212_49.8398.tif,Ablaincourt-Pressoir
160,2.8226,49.8468,[0.01315646],2.8226_49.8468.tif,Ablaincourt-Pressoir
161,2.8254,49.8328,[0.00091901],2.8254_49.8328.tif,Ablaincourt-Pressoir
162,2.8226,49.8398,[2.774195e-12],2.8226_49.8398.tif,Ablaincourt-Pressoir
163,2.824,49.8468,[0.00145661],2.824_49.8468.tif,Ablaincourt-Pressoir
164,2.8268,49.8328,[0.0001092],2.8268_49.8328.tif,Ablaincourt-Pressoir
165,2.824,49.8398,[0.00063957],2.824_49.8398.tif,Ablaincourt-Pressoir
166,2.8254,49.8468,[0.00150555],2.8254_49.8468.tif,Ablaincourt-Pressoir
167,2.8282,49.8328,[4.4976154e-08],2.8282_49.8328.tif,Ablaincourt-Pressoir
168,2.8254,49.8398,[0.35752076],2.8254_49.8398.tif,Ablaincourt-Pressoir
169,2.8268,49.8468,[0.00176495],2.8268_49.8468.tif,Ablaincourt-Pressoir
170,2.8296,49.8328,[0.00020488],2.8296_49.8328.tif,Ablaincourt-Pressoir
171,2.8268,49.8398,[0.00031842],2.8268_49.8398.tif,Ablaincourt-Pressoir
172,2.8282,49.8468,[0.00199017],2.8282_49.8468.tif,Ablaincourt-Pressoir
173,2.831,49.8328,[0.00320142],2.831_49.8328.tif,Ablaincourt-Pressoir
174,2.8282,49.8398,[0.00014225],2.8282_49.8398.tif,Ablaincourt-Pressoir
