X,Y,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,CRIADOR,DATA_CRIAC,ATUALIZADO,DATA_ATUAL,EOL_VERSAO,NOME_EOL,DEN_AEG,VERSAO_ATU,DATUM,FUSO,X_1,Y_1,OPE_COM,PROPRIETAR,CEG,Datum_1,Fuso_1,Operacao,latitude,Long,Lat,Park,KW,id,quality
-35.876748866,-5.2732020899999,2,145,95,100,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,221,Ventos de São Miguel,UG15,1,1,25,181103.021,9416404.95,1,Energisa Geração - Central Eólica Ventos de São Miguel S.A.,EOLCVRN030514-6-01,SIRGAS 2000,UTM 25S (MER -33),SIM,-5,-35.876748866,-5.27320209,Ventos de,2e3,56,100
-41.51122752,-11.9577870279999,2.2,135,80,110,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1347,Ventos da Bahia III,AEG14,1,1,24,226507,8676872,1,Parque Eólico Ventos da Bahia III S.A.,EOLCVBA032527-9-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-12,-41.51122752,-11.957787028,Ventos da,2200,57,100
-42.624901068,-11.050494741,2.1,177,120,114,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1396,Laranjeiras III,L-III-07,1,1,23,759490,8777406,2,Parque Eólico Laranjeiras III S.A.,EOLCVBA033626-2-01,SIRGAS 2000,UTM 23S (MER -45),NÃO,-11,-42.624901068,-11.050494741,Laranjeira,2100,58,100
-40.6084835139999,-7.99563055499993,2.1,136,80,114,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1432,Ventos de São Vicente 13,VIC_13-06,1,1,24,322722,9115839,1,Ventos de São Adeodato Energias Renováveis S.A.,EOLCVPI033139-2-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-8,-40.608483514,-7.995630555,Ventos de,2100,59,100
-40.6685717619999,-7.41301781199996,1.7,130,80,100,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1074,Ventos de Santa Joana VII,JOA_VII-01,1,1,24,315846,9180247,1,Ventos de Santa Joana VII Energias Renováveis S.A.,EOLCVPI031597-4-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-7,-40.668571762,-7.413017812,Ventos de,1700,60,100
-41.530007525,-14.0265446029999,2,135,80,110,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1130,Cristalândia III,AEG 6,1,1,24,226735,8447875,1,Enel Green Power Cristalandia II Eólica S.A.,EOLCVBA032083-8-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-14,-41.530007525,-14.026544603,Cristalând,2e3,61,100
-40.726230815,-7.78277478,2.3,138,80,116,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1193,Ventos de São Virgílio 02,VIR_02-06,1,1,24,309643.5,9139328.2,1,Ventos de São Virgilio 02 Energias Renováveis S.A.,EOLCVPI033667-0-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-8,-40.726230815,-7.78277478,Ventos de,2300,62,100
-40.593171156,-7.38570593199995,2.70000005,150,89,122,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1230,Santo Anastácio,SAN-06,1,1,24,324159,9183298,2,Central Eólica Cruzeiro Ltda.,EOLCVPI031690-3-01,SIRGAS 2000,UTM 24S (MER -39),NÃO,-7,-40.593171156,-7.385705932,Santo Anas,2700.0000499999996,63,100
-35.903271602,-5.11301341499995,2.1,175,120,110,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1242,Dreen Cutia,CU05,1,1,25,178079,9434116,2,Usina de Energia Eólica Cutia S.A.,EOLCVRN030701-7-01,SIRGAS 2000,UTM 25S (MER -33),NÃO,-5,-35.903271602,-5.113013415,Dreen Cuti,2100,64,100
-36.065346462,-5.38858569299993,2.35,144.38,98.38,92,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1264,Jericó,Jer-08,1,1,24,825260.6,9403599,1,Central Eólica Jaú S.A.,EOLCVRN031802-7-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-5,-36.065346462,-5.388585693,Jericó,2350,65,100
-36.903519005,-4.97005672499995,2.1,136.5,89,95,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,64,Areia Branca,UG4,1,1,24,732466,9450277,1,Eólica Bela Vista Geração e Comercialização de Energia S.A.,EOLCVRN030340-2-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-5,-36.903519005,-4.970056725,Areia Bran,2100,66,100
-36.06521294,-5.33025995699995,2,148.5,100,97,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,790,Baixa do Feijão IV,WTG-6-IV,1,1,24,825306.325,9410054.615,1,Central Eólica Baixa do Feijão IV S.A.,EOLCVRN030931-1-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-5,-36.06521294,-5.330259957,Baixa do F,2e3,67,100
-39.851220509,-2.93022804799995,3,158,100,116,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,845,Itarema I,8,1,1,24,405400,9676083,1,Eólica Itarema I S.A.,EOLCVCE031485-4-01,SIRGAS 2000,UTM 24S (MER -39),SIM,-3,-39.851220509,-2.930228048,Itarema I,3e3,68,100
